Key,Context,Example,Source,de,en-us,es,es-es,fr,it,ja,pt,ru
,,,Space,Leertaste,,Espacio,Espacio,Espace,BARRA SPAZIATRICE,スペース,Espaço,Пробел
,,,Speed,Tempo,,Velocidad,Velocidad,Vitesse,Velocità,速さ,Velocidade,Скорость
,,,Submit,Senden,,Enviar,Enviar,Soumettre,Invia,送信,Enviar,Отправить
,,,Swearing,Fluchen,,Palabras malsonantes,Palabras malsonantes,Jurons,Turpiloquio,ののしり,Palavrões,Ненормативная лексика
,,,TAB,Tabulator,,TAB,TAB,TAB,TAB,TAB,TAB,TAB
,,,Take Free,Gratis nehmen,,Obtener gratis,Obtener gratis,Prendre gratuitement,Prendi gratis,無料配布,Obter grátis,Получить бесплатно
,,,Take Screenshot,Screenshot machen,,Hacer captura de pantalla,Hacer captura de pantalla,Prendre capture d'écran,Cattura screenshot,スクリーンショットを撮る,Captura de tela,Сделать снимок экрана
,,,This is a popup,Dies ist ein Pop-up.,,Esta es una ventana emergente.,Esta es una ventana emergente.,Ceci est une fenêtre popup,Questo è un popup,これはポップアップです,Este é um popup,Всплывающее сообщение
,,,Are you sure you want to reset your character?,Möchtest du deinen Charakter wirklich zurücksetzen?,,¿Seguro que deseas reiniciar tu personaje?,¿Seguro que deseas reiniciar tu personaje?,Voulez-vous vraiment réinitialiser le personnage ?,Vuoi davvero azzerare il tuo personaggio?,キャラクターをリセットしてよろしいですか？,Quer mesmo reiniciar o personagem?,Сбросить персонажа?
,,,Type Of Abuse,Art des Verstoßes,,Tipo de abuso,Tipo de abuso,Type d'abus,Tipo di abuso,不正の種類,Tipo de abuso,Тип нарушения
,,,Unequip Tools,Werkzeuge deaktivieren,,Desequipar herramientas,Desequipar herramientas,Outils non équipés,Rimuovi strum.,ツールを外す,Desequipar,Убрать инструм.
,,,Upgrade,Aufwerten,,Mejorar,Mejorar,Améliorer,Migliora,アップグレード,Melhorar,Улучшение
,,,Upload to YouTube,Auf YouTube hochladen,,Cargar a YouTube,Cargar a YouTube,Télécharger sur YouTube,Carica su YouTube,YouTubeにアップロード,Upload para o YouTube,Загрузить на YouTube
,,,Use Tool,Werkzeug verwenden,,Utilizar herramienta,Utilizar herramienta,Utiliser outil,Usa strumento,ツールを使用,Usar,Использовать инструмент
,,,Video,Video,,Vídeo,Vídeo,Vidéo,Video,ビデオ,Vídeo,Видео
,,,Video Settings,Video-Einstellungen,,Configuración de vídeo,Configuración de vídeo,Paramètres vidéo,Impostazioni video,ビデオ設定,Configurações de vídeo,Настройки видео
,,,Volume,Lautstärke,,Volumen,Volumen,Volume,Volume,ボリューム,Volume,Громкость
,,,W/Up Arrow,W/Pfeil hoch,,W/Cursor arriba,W/Cursor arriba,W/Flèche haut,W/Freccia SU,W/上カーソル,W/seta para cima,W/стрелка вверх
,,,Which Player?,Welcher Spieler?,,¿A qué jugador?,¿A qué jugador?,Quel joueur ?,Quale giocatore?,どのプレーヤーですか？,Qual jogador?,Какой игрок?
,,,Automatic,Automatisch,,Automático,Automático,Automatique,Automatico,自動,Automático,Автоматически
,,,Wipeouts,Auslöschungen,,Destrucciones,Destrucciones,Éliminations,Annientamenti,死亡回数,Aniquilações,Уничтожения
,,,Zoom In,Vergrößern,,Acercar,Acercar,Zoom avant,Ingrandisci,ズームイン,Aproximar zoom,Приблизить
,,,Zoom In/Out,Größe,,Acercar/alejar,Acercar/alejar,Zoom avant/arrière,Aumenta/Riduci,ズームイン/ズームアウト,Aprox./afastar,Приблизить/отдалить
,,,Zoom Out,Verkleinern,,Alejar,Alejar,Zoom arrière,Riduci,ズームアウト,Afastar zoom,Отдалить
,,,update me,aktualisiere mich,,actualízame,actualízame,tenez-moi au courant,aggiornami,自分をアップデート,atualize-me,обновите меня
,,,Add Friend,Freund hinzufügen,,Añadir amigo,Añadir amigo,Ajouter ami,Aggiungi amico,友達を追加,Adicionar amigo,Добавить друга
,,,"Server found, loading...",Server gefunden. Laden ...,,Servidor encontrado. Cargando...,Servidor encontrado. Cargando...,"Serveur trouvé, en cours de chargement...","Server trovato, caricamento...",サーバが見つかりました、ロード中です...,"Servidor encontrado, carregando...",Сервер найден. Загрузка...
,,,Badge Awarded,Abzeichen verliehen,,Emblema concedido,Emblema concedido,Badge accordé,Contrassegno conferito,授与されたバッジ,Emblema concedido,Получен значок
,,,Block Player,Spieler sperren,,Bloquear jugador,Bloquear jugador,Bloquer joueur,Blocca giocatore,プレーヤーをブロック,Bloquear jogador,Заблокировать игрока
,,,Follow Player,Spieler folgen,,Seguir a jugador,Seguir a jugador,Suivre joueur,Segui giocatore,プレーヤーをフォロー,Seguir jogador,Подписаться на игрока
,,,Backpack,Rucksack,,Mochila,Mochila,Sac-à-dos,Zaino,バックパック,Mochila,Рюкзак
,,,Friend,Freund,,Amigo,Amigo,Ami,Amico,友達,Amigo,Друг
,,,New Friend,Neuer Freund,,Amigo nuevo,Amigo nuevo,Nouvel ami,Nuovo amico,新しい友達,Novo amigo,Новый друг
,,,New Friend {RBX_NAME},Neuer Freund {RBX_NAME},,Amigo nuevo {RBX_NAME},Amigo nuevo {RBX_NAME},Nouvel ami {RBX_NAME},Nuovo amico {RBX_NAME},新しい友達 {RBX_NAME},Novo amigo  {RBX_NAME},Новый друг {RBX_NAME}
,,,Point Awarded,Punkt verliehen,,Punto concedido,Punto concedido,Point accordé,Punto attribuito,ポイント授与,Ponto concedido,Получено очко
,,,Points Awarded,Punkte verliehen,,Puntos concedidos,Puntos concedidos,Points accordés,Punti attribuiti,ポイント授与,Pontos concedidos,Получены очки
,,,Points Awarded You received {RBX_NUMBER} points!,Punkte verliehen Du hast {RBX_NUMBER} Punkte erhalten!,,Puntos concedidos ¡Has recibido {RBX_NUMBER} puntos!,Puntos concedidos ¡Has recibido {RBX_NUMBER} puntos!,Points accordés Vous avez reçu {RBX_NUMBER} points !,Punti attribuiti Hai ricevuto {RBX_NUMBER} punti!,ポイント授与 ポイントを {RBX_NUMBER}ゲットしました !,Pontos concedidos Você recebeu {RBX_NUMBER} pontos!,Получены очки Вы получили {RBX_NUMBER} очк.!
,,,"{RBX_NAME} won {RBX_NAME}'s ""{RBX_NAME}"" award!",{RBX_NAME} wurde von {RBX_NAME} die Auszeichnung „{RBX_NAME}“ verliehen!,,"¡{RBX_NAME} ha ganado el galardón ""{RBX_NAME}"" de {RBX_NAME}!","¡{RBX_NAME} ha ganado el galardón ""{RBX_NAME}"" de {RBX_NAME}!",{RBX_NAME} a gagné la récompense « {RBX_NAME} » de {RBX_NAME} !,"{RBX_NAME} ha vinto il premio ""{RBX_NAME}"" di {RBX_NAME}!","{RBX_NAME} {RBX_NAME}'の ""{RBX_NAME}"" を受賞!","{RBX_NAME} ganhou o prêmio ""{RBX_NAME}“ de {RBX_NAME}!",{RBX_NAME} получает награду {RBX_NAME} «{RBX_NAME}»!
,,,Report Abuse,Verstoß melden,,Denunciar abuso,Denunciar abuso,Signaler injure,Segnala abuso,不正を報告,Denunciar abuso,Сообщить о нарушении
,,,Request Sent,Anfrage gesendet,,Solicitud enviada,Solicitud enviada,Demande envoyée,Richiesta inviata,送信リクエスト,Pedido enviado,Запрос отправлен
,,,Send Friend Request,Freundesanfrage gesendet,,Enviar solicitud de amistad,Enviar solicitud de amistad,Envoyer demande d'ami,Invia richiesta di amicizia,友達リクエストを送信,Enviar pedido de amizade,Отправить запрос дружбы
,,,Backspace,Rücktaste,,Retroceso,Retroceso,Retour,BACKSPACE,バックスペース,Backspace,Backspace
,,,Sent you a friend request!,hat dir eine Freundesanfrage gesendet!,,te ha enviado una solicitud de amistad!,te ha enviado una solicitud de amistad!,vous a envoyé une demande d'ami !,ti ha inviato una richiesta di amicizia!,君に友達リクエストを送ったよ！,enviou um pedido de amizade para você!,отправил вам запрос дружбы!
,,,Unblock Player,Spieler nicht mehr sperren,,Desbloquear jugador,Desbloquear jugador,Débloquer joueur,Sblocca giocatore,プレーヤーのブロックを解除,Desbloq. jogador,Разблокировать игрока
,,,Unfollow Player,Spieler nicht mehr folgen,,Dejar de seguir a jugador,Dejar de seguir a jugador,Ne plus suivre joueur,Non seguire giocatore,プレーヤーをフォローしない,Parar de seguir jogador,Отписаться от игрока
,,,Unfriend Player,Spieler als Freund entfernen,,Cancelar amistad con jugador,Cancelar amistad con jugador,Ne plus être ami du joueur,Togli amicizia a giocatore,プレーヤーを友達解除,Cancelar amizade,Удалить из друзей
,,,You are,Du,,Estás,Estás,Vous,Sei,あなたは,Você está,Вы
,,,Your balance after this transaction will be R${RBX_NUMBER},Nach dieser Transaktion wird dein Guthaben {RBX_NUMBER} R$ betragen.,,Tu saldo después de esta transacción será de {RBX_NUMBER} R$.,Tu saldo después de esta transacción será de {RBX_NUMBER} R$.,Votre solde après cette transaction sera de {RBX_NUMBER} R$,"Dopo la transazione, avrai R${RBX_NUMBER}",この取引の後の残高は R${RBX_NUMBER}です,Seu saldo depois desta transação será de R$ {RBX_NUMBER},После этой операции ваш баланс составит R${RBX_NUMBER}
,,,Bullying,Mobbing,,Abusos,Abusos,Harcèlement,Bullismo,いじめ,Bullying,Агрессивное поведение
,,,Abuse Description,Beschreibung des Verstoßes,,Descripción del abuso,Descripción del abuso,Description de l'injure,Descrizione abuso,不正の詳細,Descrição do abuso,Описание нарушения
,,,Buy,Kaufen,,Comprar,Comprar,Acheter,Compra,購入,Comprar,Купить
,,,Button,Schaltfläche,,Botón,Botón,Bouton,Pulsante,ボタン,Botão,Кнопка
,,,DPad,Steuerkreuz,,Cruceta,Cruceta,Croix directionnelle,Croce direzionale,DPad,Direcional,Крестовина
,,,Default (Follow),Standard (Folgen),,Predeterminado (seguir),Predeterminado (seguir),Par défaut (Suivre),Predefinita (Segui),デフォルト (フォロー),Padrão (seguir),По умолчанию (слежение)
,,,Default (Thumbstick),Standard (Stick),,Predeterminado (stick),Predeterminado (stick),Par défaut (Joystick),Predefinita (Levetta),デフォルト (サムスティック),Padrão (thumbstick),По умолчанию (аналоговый стик)
,,,Equip/Unequip Tools,Werkzeuge aktivieren/deaktivieren,,Equipar/desequipar herramientas,Equipar/desequipar herramientas,Prendre/Lâcher outils,Equipaggia/Rimuovi,ツールを装備/外す,Trocar ferramentas,Назначить/убрать инструменты
,,,Move,Bewegen,,Movimiento,Movimiento,Se déplacer,Muovi,移動,Mover,Передвижение
,,,Reset Character,Charakter zurücksetzen,,Reiniciar personaje,Reiniciar personaje,Réinitialiser le personnage,Azzera personaggio,キャラクターをリセット,Reiniciar,Сброс персонажа
,,,Rotate Camera,Kamera drehen,,Rotar cámara,Rotar cámara,Rotation de caméra,Ruota visuale,カメラを回転,Girar câmera,Вращение камеры
,,,Tap to Move,Zum Bewegen tippen,,Tocar para mover,Tocar para mover,Toucher pour se déplacer,Tocca per muovere,タップして移動,Toque para mover,Коснитесь для передвижения
,,,Thumbpad,Thumbpad,,Cruceta,Cruceta,Pavé directionnel,Croce direzionale,サムパッド,Thumbpad,Кнопочная панель
,,,Thumbstick,Stick,,Stick,Stick,Joystick,Levetta,サムスティック,Thumbstick,Аналоговый стик
,,,Buy Now,Jetzt kaufen,,Comprar ahora,Comprar ahora,Acheter maintenant,Compra ora,すぐ買う,Comprar agora,Купить
,,,These are the basic chat commands.,Das sind die grundlegenden Chatbefehle.,,Estos son los comandos básicos del chat.,Estos son los comandos básicos del chat.,Voici les commandes de chat basiques.,Questi sono i comandi base della chat.,これらは基本的なチャットコマンドです。,Esses são os comandos de chat básicos.,Это основные команды чата.
,,,/join <channel> or /j <channel> : join channel.,/join <Kanal> oder /j <Kanal> : Kanal beitreten,,/join <canal> o /j <canal>: unirse al canal.,/join <canal> o /j <canal>: unirse al canal.,/join <canal> ou /r <canal> : rejoindre le canal.,/join <canale> o /j <canale>: accedi al canale.,/join <channel> または /j <channel> : で、チャンネルに参加。,/join <canal> ou /j <canal> : juntar-se a um canal.,/join <канал> или /j <канал> : подключиться к каналу.
,,,/leave <channel> or /l <channel> : leave channel. (leaves current if none specified),/leave <Kanal> oder /l <Kanal> : Kanal verlassen. (Ohne Angabe des Kanals wird der aktuelle Kanal verlassen.),,/leave <canal> o /l <canal>: salir del canal (sale del canal actual si no se especifica ninguno).,/leave <canal> o /l <canal>: salir del canal (sale del canal actual si no se especifica ninguno).,/leave <canal> ou /l <canal> : quitter canal. (reste sur le même si aucun n'est spécifié),/leave <canale> o /l <canale>: lascia il canale (quello attuale se non specificato).,/leave <channel> または /l <channel> : でチャンネルから退出。 (指定しなければ現在のチャネルから退出します),/leave <canal> ou /l <canal> : sair do canal. (sai do atual se não especificado),"/leave <канал> или /l <канал> : покинуть канал. (Вы покинете текущий канал, если не укажете другой.)"
,,,Buy R$,R$ kaufen,,Comprar R$,Comprar R$,Acheter des R$,Compra R$,R$ を買う,Comprar R$,Купить R$
,,,You must wait {RBX_NUMBER} second before sending another message!,"Du musst {RBX_NUMBER} Sekunde lang warten, bevor du eine weitere Nachricht senden kannst!",,¡Debes esperar {RBX_NUMBER} segundo antes de enviar otro mensaje!,¡Debes esperar {RBX_NUMBER} segundo antes de enviar otro mensaje!,Vous devez attendre {RBX_NUMBER} seconde avant d'envoyer un autre message !,Devi aspettare {RBX_NUMBER} secondo prima di inviare un altro messaggio!,{RBX_NUMBER} 秒待ってから次のメッセージを送ってください!,Você precisa esperar {RBX_NUMBER} segundo antes de enviar outra mensagem!,Вы сможете отправить новое сообщение только через {RBX_NUMBER} сек.!
,,,Reset Character,Charakter zurücksetzen,,Reiniciar personaje,Reiniciar personaje,Réinitialiser le personnage,Azzera personaggio,キャラクターをリセット,Reiniciar,Сброс персонажа
,,,"By clicking the 'Record Video' button, the menu will close and start recording your screen.","Wenn du auf die Schaltfläche „Video aufzeichnen“ klickst, schließt sich das Menü und dein Bildschirm wird aufgezeichnet.",,"Al hacer clic en el botón ""Grabar vídeo"", el menú se cerrará y se empezará a grabar tu pantalla.","Al hacer clic en el botón ""Grabar vídeo"", el menú se cerrará y se empezará a grabar tu pantalla.","En cliquant sur le bouton Enregistrer vidéo, le menu se fermera et l'enregistrement de votre écran débutera.","Clicca sul pulsante ""Registra video"" per chiudere il menu e iniziare a registrare quanto avviene sullo schermo.",「ビデオの録画」ボタンをクリックするとメニューが閉じて画面の録画が始まります。,"Ao clicar no botão ‘Gravar vídeo’, o menu será fechado e a tela começará a ser gravada.",После нажатия на кнопку «Запись видео» это меню закроется и начнется запись видео с экрана.
,,,To {RBX_NAME},An {RBX_NAME},,Para {RBX_NAME},Para {RBX_NAME},À {RBX_NAME},A {RBX_NAME},To {RBX_NAME},Para {RBX_NAME},Получатель: {RBX_NAME}
,,,From {RBX_NAME},Von {RBX_NAME},,De {RBX_NAME},De {RBX_NAME},De {RBX_NAME},Da {RBX_NAME},From {RBX_NAME},De {RBX_NAME},Отправитель: {RBX_NAME}
,,,You were kicked from '{RBX_NAME}' for the following reason(s): {RBX_NAME},Du wurdest aus folgenden Gründen aus „{RBX_NAME}“ entfernt: {RBX_NAME},,"Se te ha expulsado de ""{RBX_NAME}"" por el/los motivo/s siguiente/s: {RBX_NAME}","Se te ha expulsado de ""{RBX_NAME}"" por el/los motivo/s siguiente/s: {RBX_NAME}",Vous avez expulsé de {RBX_NAME} pour la/les raison(s) suivante(s) : {RBX_NAME},"Sei stato rimosso da ""{RBX_NAME}"" per le seguenti motivazioni: {RBX_NAME}",あなたは '{RBX_NAME}' から次の理由により外されました: {RBX_NAME},Você foi expulso(a) de '{RBX_NAME}‘. Motivo(s): {RBX_NAME},Вы исключены из «{RBX_NAME}» по следующим причинам: {RBX_NAME}
,,,{RBX_NAME} was kicked for the following reason(s): {RBX_NAME},{RBX_NAME} wurde aus folgenden Gründen entfernt: {RBX_NAME},,Se ha expulsado a {RBX_NAME} por el/los motivo/s siguiente/s: {RBX_NAME},Se ha expulsado a {RBX_NAME} por el/los motivo/s siguiente/s: {RBX_NAME},{RBX_NAME} a été expulsé pour la/les raison(s) suivante(s) : {RBX_NAME},{RBX_NAME} è stato rimosso per le seguenti motivazioni: {RBX_NAME},{RBX_NAME} は次の理由により外されました: {RBX_NAME},{RBX_NAME} foi expulso(a). Motivo(s): {RBX_NAME},Пользователь {RBX_NAME} исключен по следующим причинам: {RBX_NAME}
,,,You were kicked from '{RBX_NAME}',Du wurdest aus „{RBX_NAME}“ entfernt.,,"Se te ha expulsado de ""{RBX_NAME}"".","Se te ha expulsado de ""{RBX_NAME}"".",Vous avez été expulsé de {RBX_NAME},"Sei stato rimosso da ""{RBX_NAME}""",あなたは '{RBX_NAME}' から外されました。,Você foi expulso(a) de '{RBX_NAME}',Вы исключены из «{RBX_NAME}».
,,,"By clicking the 'Take Screenshot' button, the menu will close and take a screenshot and save it to your computer.","Wenn du auf die Schaltfläche „Screenshot machen“ klickst, schließt sich das Menü und ein Screenshot wird auf deinem Computer gespeichert.",,"Al hacer clic en el botón ""Hacer captura de pantalla"", el menú se cerrará y se hará una captura de pantalla que se guardará en tu ordenador.","Al hacer clic en el botón ""Hacer captura de pantalla"", el menú se cerrará y se hará una captura de pantalla que se guardará en tu ordenador.","En cliquant sur le bouton Capture d'écran, le menu se fermera et une capture d'écran sera sauvegardée dans votre ordinateur.","Clicca sul pulsante ""Cattura screenshot"" per chiudere il menu, catturare uno screenshot e salvarlo sul computer.",「スクリーンショットを撮る」ボタンをクリックするとメニューが閉じてスクリーンショットがコンピュータに保存されます。,"Ao clicar no botão ‘Captura de tela’, o menu será fechado e a tela será capturada e salva no seu computador.",После нажатия на кнопку «Сделать снимок экрана» это меню закроется и снимок сохранится на вашем компьютере.
,,,{RBX_NAME} was kicked,{RBX_NAME} wurde entfernt,,Se ha expulsado a {RBX_NAME}.,Se ha expulsado a {RBX_NAME}.,{RBX_NAME} a été expulsé,{RBX_NAME} è stato rimosso,{RBX_NAME} は外されました。,{RBX_NAME} foi expulso(a),Пользователь {RBX_NAME} исключен
,,,{RBX_NAME} was muted for the following reason(s): {RBX_NAME},{RBX_NAME} wurde aus folgenden Gründen stummgeschaltet: {RBX_NAME},,Se ha silenciado a {RBX_NAME} por el/los motivo/s siguiente/s: {RBX_NAME},Se ha silenciado a {RBX_NAME} por el/los motivo/s siguiente/s: {RBX_NAME},{RBX_NAME} a été bâillonné pour la/les raison(s) suivante(s) : {RBX_NAME},{RBX_NAME} non ha più la parola per le seguenti motivazioni: {RBX_NAME},{RBX_NAME} は次の理由によりミュートされました: {RBX_NAME},{RBX_NAME} foi silenciado(a). Motivo(s): {RBX_NAME},Пользователь {RBX_NAME} добавлен в список игнорируемых по следующим причинам: {RBX_NAME}
,,,You are now chatting in channel: '{RBX_NAME}',Du chattest jetzt in Kanal „{RBX_NAME}“.,,"Estás chateando en el canal ""{RBX_NAME}"".","Estás chateando en el canal ""{RBX_NAME}"".","Maintenant, vous discutez sur le canal : {RBX_NAME}","Ora stai parlando nel canale: ""{RBX_NAME}""",あなたの現在のチャットチャンネルは: '{RBX_NAME}' です。,Você agora está no canal de chat: '{RBX_NAME}',Вы общаетесь на канале «{RBX_NAME}»
,,,You have left channel '{RBX_NAME}',Du hast Kanal „{RBX_NAME}“ verlassen.,,"Has salido del canal ""{RBX_NAME}"".","Has salido del canal ""{RBX_NAME}"".",Vous avez quitté le canal {RBX_NAME},"Hai lasciato il canale ""{RBX_NAME}""",チャンネル '{RBX_NAME}' を退出しました。,Você saiu do canal '{RBX_NAME}',Вы покинули канал «{RBX_NAME}»
,,,CPU,CPU,,CPU,CPU,UCT,CPU,CPU,CPU,Процессор
,,,ROBLOX version is out of date. Please uninstall and try again.,Die ROBLOX-Version ist nicht aktuell. Bitte deinstallieren und erneut versuchen.,,"Esta versión de ROBLOX es obsoleta. Por favor, desinstálala y vuelve a intentarlo.","Esta versión de ROBLOX es obsoleta. Por favor, desinstálala y vuelve a intentarlo.",Cette version de ROBLOX est obsolète. Veuillez désinstaller et réessayer.,Versione di ROBLOX obsoleta. Disinstalla e riprova.,古いバージョンのROBLOXです。アンインストールしてリトライしてください。,Sua versão do ROBLOX não está atualizada. Desinstale e tente novamente.,Эта версия ROBLOX устарела. Удалите приложение и повторите попытку.
,,,Connection attempt failed.,Verbindungsaufbau fehlgeschlagen.,,Ha fallado el intento de conexión.,Ha fallado el intento de conexión.,Échec de la tentative de connexion.,Tentativo di connessione non riuscito.,接続に失敗しました。,Tentativa de conexão fracassada.,Не удалось подключиться.
,,,Version not compatible with server. Please uninstall and try again.,Version nicht mit Server kompatibel. Bitte deinstallieren und erneut versuchen.,,"Esta versión no es compatible con el servidor. Por favor, desinstálala y vuelve a intentarlo.","Esta versión no es compatible con el servidor. Por favor, desinstálala y vuelve a intentarlo.",Version incompatible avec le serveur. Veuillez désinstaller et réessayer.,Versione non compatibile con il server. Disinstalla e riprova.,サーバと互換性のないバージョンです。アンインストールしてリトライしてください。,Versão incompatível com servidor. Desinstale e tente novamente.,Версия приложения несовместима с сервером. Удалите приложение и повторите попытку.
,,,Network error {RBX_NUMBER},Netzwerkfehler {RBX_NUMBER},,Error de red {RBX_NUMBER},Error de red {RBX_NUMBER},Erreur réseau {RBX_NUMBER},Errore di rete {RBX_NUMBER},ネットワークエラー {RBX_NUMBER},Erro de rede {RBX_NUMBER},Ошибка сети {RBX_NUMBER}
,,,Camera Mode,Kameramodus,,Modo de cámara,Modo de cámara,Mode caméra,Modalità visuale,カメラのモード,Modo da câmera,Режим камеры
,,,This game is not available. Please try another,Dieses Spiel ist nicht verfügbar. Bitte probiere ein anderes.,,Este juego no está disponible. Inténtalo con otro.,Este juego no está disponible. Inténtalo con otro.,Ce jeu n'est pas disponible. Veuillez en essayer un autre,Questo gioco non è disponibile. Provane un altro,このゲームは利用できません。他を試してください。,Este jogo não está disponível. Tente outro,Эта игра недоступна. Попробуйте другую
,,,Failed to connect to the Game. (ID = {RBX_NUMBER}: {RBX_NAME}),Verbindung zum Spiel fehlgeschlagen. (ID = {RBX_NUMBER}: {RBX_NAME}),,No se ha podido conectar con el juego. (ID = {RBX_NUMBER}: {RBX_NAME}),No se ha podido conectar con el juego. (ID = {RBX_NUMBER}: {RBX_NAME}),Échec de la connexion au jeu. (ID = {RBX_NUMBER} : {RBX_NAME}),Connessione al gioco non riuscita. (ID = {RBX_NUMBER}: {RBX_NAME}),ゲームに接続できませんでした。(ID = {RBX_NUMBER}: {RBX_NAME}),Falha ao conectar no jogo. (ID = {RBX_NUMBER}: {RBX_NAME}),Не удалось подключиться к игре. (ID = {RBX_NUMBER}: {RBX_NAME})
,,,This game has shut down,Dieses Spiel wurde abgebrochen.,,Este juego ha sido cerrado.,Este juego ha sido cerrado.,Ce jeu a dû fermer.,Questo gioco è stato chiuso,このゲームはシャットダウン中です。,Este jogo foi encerrado,Эта игра больше не доступна
,,,You have lost the connection to the game,Die Verbindung zum Spiel wurde unterbrochen.,,Has perdido la conexión con el juego.,Has perdido la conexión con el juego.,Votre connexion au jeu a été perdue.,Sei stato disconnesso dal gioco,ゲームへの接続が失われました。,Você perdeu a conexão com o jogo,Прервано подключение к игре
,,,Notifications,Benachrichtigungen,,Notificaciones,Notificaciones,Notifications,Notifiche,お知らせ,Notificações,Уведомления
,,,Remove From Hotbar,Schnellzugriff entfernen,,Eliminar de la barra de acceso rápido,Eliminar de la barra de acceso rápido,Retirer de la barre de raccourcis,Togli da barra scelta rap.,ホットバーから削除,Remover da barra,Удалить из панели быстрого доступа
,,,Select/Swap,Auswählen,,Seleccionar/alternar,Seleccionar/alternar,Sélection/Échange,Selez./Scambia,選択/交換,Selecionar/trocar,Выбрать/сменить
,,,Close Backpack,Rucksack schließen,,Cerrar mochila,Cerrar mochila,Fermer le sac-à-dos,Chiudi zaino,バックパックを閉じる,Fechar mochila,Закрыть рюкзак
,,,You have no notifications,Du hast keine Benachrichtigungen.,,No tienes notificaciones,No tienes notificaciones,Vous avez des notifications,Non hai notifiche,お知らせはありません,Você não possui notificações,Уведомлений нет
,,,Switch Tool,Werkzeug wechseln,,Alternar herramienta,Alternar herramienta,Outil d'échange,Cambia strumento,ツールを交換,Trocar ferramenta,Сменить инструмент
,,,Camera Movement,Kamerabewegung,,Movimiento de la cámara,Movimiento de la cámara,Déplacement caméra,Movimento visuale,カメラの動き,Movimento da câmera,Движение камеры
,,,Game Menu Toggle,Spielmenü umschalten,,Alternar menú del juego,Alternar menú del juego,Menu du jeu (act./désact.),Attiva/Disattiva menu di gioco,ゲームメニュートグル,Ativar menu do jogo,Переключение игрового меню
,,,Menu Navigation,Menünavigation,,Navegación del menú,Navegación del menú,Navigation du menu,Menu di navigazione,メニューナビゲーション,Navegação do menu,Навигация меню
,,,Back,Zurück,,Atrás,Atrás,Retour,Indietro,戻る,Voltar,Назад
,,,Camera Zoom,Kamerazoom,,Distancia de la cámara,Distancia de la cámara,Zoom caméra,Zoom visuale,カメラズーム,Zoom da câmera,Масштаб камеры
,,,Account: Over 13 yrs,Konto: Über 13 J.,,Cuenta: Mayor de 13 años,Cuenta: Mayor de 13 años,Compte : Plus de 13 ans,Account: più di 13 anni,アカウント:13才以上,Conta: Mais de 13 anos,Учетная запись: Старше 13 лет
,,,Dismiss,Verwerfen,,Descartar,Descartar,Rejeter,Ignora,却下,Dispensar,Отклонить
,,,New Follower,Neuer Follower,,Seguidor nuevo,Seguidor nuevo,Nouvel abonné,Nuovo follower,新規フォロワー,Novo seguidor,Новый подписчик
,,,Cancel,Abbrechen,,Cancelar,Cancelar,Annuler,Annulla,キャンセル,Cancelar,Отмена
,,,An error occurred while unblocking {RBX_NAME}. Please try again later.,Bei der Aufhebung der Sperre von {RBX_NAME} ist ein Fehler aufgetreten. Bitte versuche es später erneut.,,Se ha producido un error al desbloquear a {RBX_NAME}. Inténtalo de nuevo más tarde.,Se ha producido un error al desbloquear a {RBX_NAME}. Inténtalo de nuevo más tarde.,Une erreur est survenue lors de la levée du blocage de {RBX_NAME}. Veuillez réessayer plus tard.,Si è verificato un errore nello sblocco di {RBX_NAME}. Riprova più tardi.,{RBX_NAME}のブロック解除中にエラーが発生しました。しばらくしてからやり直してください。,Um erro ocorreu ao desbloquear {RBX_NAME}. Tente de novo mais tarde.,При разблокировке пользователя {RBX_NAME} произошла ошибка. Повторите попытку позже.
,,,Would you like to unblock {RBX_NAME}?,Möchtest du die Sperre von {RBX_NAME} aufheben?,,¿Quieres desbloquear a {RBX_NAME}?,¿Quieres desbloquear a {RBX_NAME}?,Souhaitez-vous lever le blocage de {RBX_NAME} ?,Vuoi sbloccare {RBX_NAME}?,{RBX_NAME}をブロック解除しますか?,Gostaria de desbloquear {RBX_NAME}?,Разблокировать пользователя {RBX_NAME}?
,,,You are too far away to chat!,"Du bist zu weit entfernt, um zu chatten!",,¡Estás demasiado lejos para chatear!,¡Estás demasiado lejos para chatear!,Vous êtes trop loin pour discuter !,Sei troppo lontano per chattare!,遠すぎてチャット出来ません！,Você está longe demais para participar do chat!,Вы слишком далеко и не можете общаться в чате!
,,,Chat ended because you walked away,"Chat wurde beendet, da du dich entfernt hast.",,El chat ha finalizado porque te has alejado.,El chat ha finalizado porque te has alejado.,Le chat a pris fin car vous êtes parti,"La chat terminata, ti sei allontanato",立ち去ったのでチャットが終了しました。,O chat terminou porque você se afastou,Чат завершен: вы ушли.
,,,Chat ended because you didn't reply,"Chat wurde beendet, da du nicht geantwortet hast.",,El chat ha finalizado porque no has contestado.,El chat ha finalizado porque no has contestado.,Le chat a pris fin car vous n'avez pas répondu,"La chat terminata, non hai risposto",返事をしなかったのでチャットが終了しました。,O chat terminou porque você não respondeu,Чат завершен: вы не ответили.
,,,Goodbye!,Tschüss!,,¡Hasta luego!,¡Hasta luego!,Au revoir !,Addio!,さようなら！,Tchau!,До свидания!
